lat,lng,distance
42.342084962757966,-71.041791,0.5
42.35656903724204,-71.041791,0.5
42.349327,-71.02219280392167,1.0
42.33484292551593,-71.041791,1.0
42.349327,-71.06138919607834,1.0
42.363811074484076,-71.041791,1.0
42.36019005586306,-71.01633219649172,1.5
42.33846394413695,-71.01633219649172,1.5
42.32760088827389,-71.041791,1.5
42.33846394413695,-71.06724980350829,1.5
42.36019005586306,-71.06724980350829,1.5
42.37105311172611,-71.041791,1.5
42.369810574573805,-71.01407496530797,2.0
42.349327,-71.00259460784332,2.0
42.3288434254262,-71.01407496530797,2.0
42.320358851031855,-71.041791,2.0
42.3288434254262,-71.06950703469204,2.0
42.349327,-71.08098739215669,2.0
42.369810574573805,-71.06950703469204,2.0
42.37829514896815,-71.041791,2.0
42.37862165601352,-71.01299217343404,2.5
42.36051656290843,-70.99519351978016,2.5
42.338137437091575,-70.99519351978016,2.5
42.32003234398648,-71.01299217343404,2.5
42.31311681378982,-71.041791,2.5
42.32003234398648,-71.07058982656596,2.5
42.338137437091575,-71.08838848021985,2.5
42.36051656290843,-71.08838848021985,2.5
42.37862165601352,-71.07058982656596,2.5
42.385537186210186,-71.041791,2.5
42.386957729360546,-71.01239370588249,3.0
42.37105311172611,-70.99087339298343,3.0
42.349327,-70.98299641176499,3.0
42.32760088827389,-70.99087339298343,3.0
42.31169627063946,-71.01239370588249,3.0
42.30587477654778,-71.041791,3.0
42.31169627063946,-71.07118829411752,3.0
42.32760088827389,-71.09270860701658,3.0
42.349327,-71.10058558823502,3.0
42.37105311172611,-71.09270860701658,3.0
42.386957729360546,-71.07118829411752,3.0
42.39277922345222,-71.041791,3.0
42.39500095066686,-71.0120293149195,3.5
42.38093435455564,-70.98816229657231,3.5
42.36060753423592,-70.97491710065185,3.5
42.33804646576409,-70.97491710065185,3.5
42.31771964544436,-70.98816229657231,3.5
42.30365304933314,-71.0120293149195,3.5
42.298632739305745,-71.041791,3.5
42.30365304933314,-71.0715526850805,3.5
42.31771964544436,-71.0954197034277,3.5
42.33804646576409,-71.10866489934816,3.5
42.36060753423592,-71.10866489934816,3.5
42.38093435455564,-71.0954197034277,3.5
42.39500095066686,-71.0715526850805,3.5
42.40002126069426,-71.041791,3.5
42.402853159852825,-71.01179138022631,4.0
42.3902941491476,-70.98635893061594,4.0
42.37149826135279,-70.96936551107632,4.0
42.349327,-70.96339821568664,4.0
42.327155738647214,-70.96936551107632,4.0
