"geoid10","latitude","longitude","total_commuters"
"250250606001065","42.3484576508907","-71.0387294418252","50"
"250214181012003","42.2489056407684","-71.0169101291314","38"
"250250203012000","42.3644672667728","-71.0672198456554","33"
"250214180025000","42.2422362193207","-70.988155400295","33"
"250173549002001","42.3926946050469","-71.1378360155313","27"
"250250612001049","42.3423583550697","-71.0578508876664","24"
"250214196003006","42.1755594424561","-70.9852564647473","23"
"250250203033000","42.3652650383436","-71.0659958111174","22"
"250250511012000","42.3914926381445","-71.0093439308257","22"
"250250612001030","42.3456451595274","-71.0507417275075","22"
"250214173001012","42.2896773963991","-71.0274498662785","21"
"250250203031000","42.3632082521582","-71.0644569673921","20"
"250214221003007","42.147079991204","-70.9613832825507","20"
"250250701014000","42.3543139378012","-71.0634829209802","20"
"250250606001063","42.3475438664062","-71.0383576522973","19"
"250250601013004","42.3344346103354","-71.0302367815622","19"
"250251801013010","42.3845938614415","-70.9824901029572","19"
"250250601013000","42.3353462135401","-71.0261142008937","19"
"250250408013012","42.3750550377548","-71.0511433253601","19"
"250250202003009","42.360663141067","-71.0693751597796","18"
"250173534002009","42.3607295993072","-71.1143926746901","18"
"250250701014002","42.353867839255","-71.0627297139353","18"
"250214181022002","42.2470692167123","-71.0211792325571","17"
"250235012023005","42.1942036873905","-70.9143141699663","17"
"250173419026001","42.4363092367733","-71.0328642950326","17"
"250251801012003","42.388277019987","-70.9688891772626","16"
"250250603011001","42.3335069832942","-71.0363389511401","16"
"250214179013007","42.2436673531351","-70.9820607187639","16"
"250250202001000","42.3602686224598","-71.0655274926231","16"
"250250606001088","42.3394853944865","-71.0486394856782","16"
"250250603011004","42.3327191259323","-71.0342897354134","16"
"250173398011023","42.4063102789081","-71.0796303771875","16"
"250250605015004","42.3370192882475","-71.0455636642138","16"
"250214182004009","42.2447509111082","-71.0455997759912","16"
"250250601013001","42.3353113320684","-71.0281973361745","16"
"250250301001008","42.3665172202929","-71.0556603139398","16"
"250250604002000","42.3326547072792","-71.0386133225798","16"
"250250303001029","42.3569114587875","-71.0502511288338","16"
"250250605014003","42.3369860397478","-71.0303066698226","15"
"250251304041001","42.2699754170534","-71.1557006860603","15"
"250250604004005","42.3309020859853","-71.0434289191097","15"
"250250605011004","42.3360775418215","-71.0343942708862","15"
"250173419021001","42.439795950932","-71.0371813406356","15"
"250214005001002","42.3397752361214","-71.1276250096195","15"
"250250602001002","42.3344027624239","-71.032286643615","15"
"250214180031022","42.2311550875077","-71.0269249413167","15"
"250250801001002","42.3330849439447","-71.066261647729","15"
"250214202012000","42.1783220798617","-71.0552191475125","15"
"250214172001009","42.2736824214911","-71.0377745220341","15"
"250250510002017","42.386599655088","-71.0123289442701","15"
"250250303003031","42.3587099511989","-71.0621822739181","14"
"250250102031007","42.3464683982711","-71.094209512524","14"
"250250603012004","42.330101554266","-71.0366067336827","14"
"250250603013007","42.3342846297535","-71.0386468477984","14"
"250214181012000","42.2462640816406","-71.0081072158331","14"
"250250604001001","42.3342118224118","-71.0428657133","14"
