lat,lng,distance
42.36372000166383,-71.03959669824353,1.0
42.36344792849665,-71.03742999110479,1.0
42.362998276460466,-71.03531812618324,1.0
42.36237670019053,-71.03328766140558,1.0
42.36159101636909,-71.03136413104448,1.0
42.360651105426065,-71.02957172461034,1.0
42.359568787286904,-71.02793298265398,1.0
42.358357672730186,-71.02646851330637,1.0
42.35703299222417,-71.02519673311926,1.0
42.35561140439481,-71.02413363546637,1.0
42.354110786533894,-71.02329258941754,1.0
42.352550009781694,-71.02268417161481,1.0
42.350948701811454,-71.02231603326507,1.0
42.349327,-71.02219280392167,1.0
42.34770529818855,-71.02231603326507,1.0
42.34610399021831,-71.02268417161481,1.0
42.34454321346611,-71.02329258941754,1.0
42.3430425956052,-71.02413363546637,1.0
42.341621007775835,-71.02519673311926,1.0
42.34029632726982,-71.02646851330637,1.0
42.3390852127131,-71.02793298265398,1.0
42.33800289457394,-71.02957172461034,1.0
42.337062983630915,-71.03136413104448,1.0
42.336277299809474,-71.03328766140558,1.0
42.33565572353954,-71.03531812618324,1.0
42.33520607150336,-71.03742999110479,1.0
42.334933998336176,-71.03959669824353,1.0
42.33484292551593,-71.041791,1.0
42.334933998336176,-71.04398530175648,1.0
42.33520607150336,-71.04615200889522,1.0
42.33565572353954,-71.04826387381677,1.0
42.336277299809474,-71.05029433859443,1.0
42.337062983630915,-71.05221786895552,1.0
42.33800289457394,-71.05401027538967,1.0
42.3390852127131,-71.05564901734603,1.0
42.34029632726982,-71.05711348669364,1.0
42.341621007775835,-71.05838526688075,1.0
42.3430425956052,-71.05944836453364,1.0
42.34454321346611,-71.06028941058247,1.0
42.34610399021831,-71.0608978283852,1.0
42.34770529818855,-71.06126596673494,1.0
42.349327,-71.06138919607834,1.0
42.350948701811454,-71.06126596673494,1.0
42.352550009781694,-71.0608978283852,1.0
42.354110786533894,-71.06028941058247,1.0
42.35561140439481,-71.05944836453364,1.0
42.35703299222417,-71.05838526688075,1.0
42.358357672730186,-71.05711348669364,1.0
42.359568787286904,-71.05564901734603,1.0
42.360651105426065,-71.05401027538967,1.0
42.36159101636909,-71.05221786895552,1.0
42.36237670019053,-71.05029433859443,1.0
42.362998276460466,-71.04826387381677,1.0
42.36344792849665,-71.04615200889522,1.0
42.36372000166383,-71.04398530175648,1.0
42.363811074484076,-71.041791,1.0
