date,direction,distance,duration,duration_in_traffic,lat,lng,duration_normalized,duration_in_traffic_normalized
2019-03-01 05:00:00,to,5550,696,630,42.358357673,-71.026468513,0.1254054054054054,0.11351351351351352
2019-03-01 05:00:00,to,2198,401,353,42.340296327,-71.026468513,0.1824385805277525,0.16060054595086443
2019-03-01 05:00:00,to,1996,371,326,42.339085213000004,-71.027932983,0.18587174348697394,0.16332665330661322
2019-03-01 05:00:00,to,2140,328,292,42.338002895,-71.029571725,0.15327102803738318,0.13644859813084112
2019-03-01 05:00:00,to,2375,398,359,42.337062984,-71.031364131,0.16757894736842105,0.1511578947368421
2019-03-01 05:00:00,to,1987,315,274,42.3362773,-71.033287661,0.15853044791142426,0.13789632611977856
2019-03-01 05:00:00,to,1892,312,271,42.335655724,-71.035318126,0.1649048625792812,0.14323467230443976
2019-03-01 05:00:00,to,2382,459,396,42.335206072,-71.03742999100001,0.19269521410579346,0.16624685138539042
2019-03-01 05:00:00,to,2384,441,379,42.334933998000004,-71.039596698,0.18498322147651006,0.1589765100671141
2019-03-01 05:00:00,to,2505,477,412,42.334842926,-71.041791,0.19041916167664671,0.16447105788423153
2019-03-01 05:00:00,to,2640,501,449,42.334933998000004,-71.043985302,0.18977272727272726,0.17007575757575757
2019-03-01 05:00:00,to,2238,427,430,42.335206072,-71.046152009,0.19079535299374442,0.19213583556747096
2019-03-01 05:00:00,to,2232,397,365,42.335655724,-71.048263874,0.1778673835125448,0.1635304659498208
2019-03-01 05:00:00,to,2151,391,333,42.3362773,-71.05029433899999,0.1817759181775918,0.15481171548117154
2019-03-01 05:00:00,to,2550,559,461,42.361591016,-71.052217869,0.2192156862745098,0.1807843137254902
2019-03-01 05:00:00,to,1858,431,390,42.337062984,-71.052217869,0.2319698600645856,0.20990312163616792
2019-03-01 05:00:00,to,2601,596,508,42.360651105,-71.054010275,0.22914263744713573,0.19530949634755862
2019-03-01 05:00:00,to,1970,473,433,42.338002895,-71.054010275,0.24010152284263958,0.21979695431472082
2019-03-01 05:00:00,to,2336,509,427,42.359568787,-71.055649017,0.21789383561643835,0.18279109589041095
2019-03-01 05:00:00,to,2597,437,404,42.339085213000004,-71.055649017,0.16827108201771274,0.1555641124374278
2019-03-01 05:00:00,to,2145,420,348,42.358357673,-71.057113487,0.1958041958041958,0.16223776223776223
2019-03-01 05:00:00,to,2399,435,384,42.340296327,-71.057113487,0.18132555231346395,0.16006669445602334
2019-03-01 05:00:00,to,2104,443,369,42.357032992,-71.05838526699999,0.2105513307984791,0.17538022813688212
2019-03-01 05:00:00,to,2468,472,421,42.341621008000004,-71.05838526699999,0.1912479740680713,0.1705834683954619
2019-03-01 05:00:00,to,1961,497,428,42.355611404,-71.059448365,0.2534421213666497,0.2182559918408975
2019-03-01 05:00:00,to,2568,472,406,42.343042596,-71.059448365,0.1838006230529595,0.15809968847352024
2019-03-01 05:00:00,to,1911,475,401,42.354110786999996,-71.060289411,0.24856096284667714,0.2098377812663527
